claim.ind0,claim.ind1,ni.genderF,ni.genderM,ni.marital.status0,ni.marital.status1,sales.channelBroker,sales.channelOnline,sales.channelPhone,coverage.typeA,coverage.typeB,coverage.typeC,city.catArizona,city.catcolorado,city.catIowa,city.catpenni,city.catVirginia,city.catWashington,premium,n.children.cat,n.adults.cat,tenure.con,ni.age.con,len.at.res.con,credit.con,year.con,cancel
1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,-0.066024152,0.306157752,1.587703842,0.018799932,0.482520837,-0.560669049,0.721116802,-1.573329341,0
1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,-0.930241981,-0.895968736,-0.095268975,1.033589754,0.482520837,0.001238426,0.721116802,-1.573329341,0
1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1.314063995,-0.895968736,-0.095268975,-1.334253165,-1.415422981,-1.40353026,-0.593682601,-1.573329341,0
1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2.46218659,-0.895968736,-0.936755384,0.69532648,-0.466451072,1.686960848,0.721116802,-1.573329341,0
1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.196284717,0.907220996,0.746217434,0.357063206,0.482520837,0.844099637,-1.908482004,-1.573329341,0
1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,-0.043159532,-0.895968736,0.746217434,0.357063206,-0.466451072,1.125053374,0.721116802,-1.573329341,0
1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,-0.587578553,-0.294905492,-0.936755384,1.202721391,0.957006792,1.686960848,0.721116802,-1.573329341,0
0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,-1.43363424,-0.895968736,-0.936755384,0.187931569,0.482520837,-1.40353026,0.721116802,-1.573329341,0
0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1.096302064,0.907220996,-0.936755384,-0.150331705,0.008034882,0.844099637,-0.593682601,-1.573329341,0
1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1.169542588,-0.294905492,1.587703842,0.357063206,0.482520837,0.282192163,0.721116802,-1.573329341,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1.112615744,-0.895968736,-0.936755384,-1.165121528,-1.415422981,-1.40353026,0.721116802,-1.573329341,0
